word,mean_abs_shap,mean_shap,count
panned,0.07245472745293788,0.07245472745293788,1
urging,0.07223380948500041,-0.07223380948500041,4
sweeping,0.0721371419476493,0.0721371419476493,3
““global,0.07212028953169163,0.07212028953169163,1
money,0.07158977004137616,0.06647283095265845,4
wilton,0.07156211324036121,-0.07156211324036121,1
dashed,0.07115110846435918,0.07115110846435918,1
hashtag,0.07113459930405952,-0.07113459930405952,1
invites–brinkley,0.07104296627221629,-0.07104296627221629,1
highlights,0.07060073972256346,-0.07060073972256346,1
worse,0.07058859346822526,0.07058859346822526,1
““american,0.0703292271355167,0.0703292271355167,1
poverty,0.07026840443722904,0.07026840443722904,1
cult,0.07021527284135422,0.07021527284135422,1
greeted,0.07020473878947087,-0.07020473878947087,1
isis,0.0700216411612928,0.0700216411612928,1
politicians,0.06984545011989583,0.06984545011989583,3
kurz,0.06977701559662819,-0.06977701559662819,1
successive,0.06967912303904691,-0.06967912303904691,1
indifferent,0.06959946608015646,0.06959946608015646,1
hopefuls,0.06939160075853579,-0.06939160075853579,1
matches,0.06938854257750791,-0.06938854257750791,1
consulate,0.06933812230825424,-0.06933812230825424,1
self-hatred,0.06908876053057611,0.06908876053057611,1
extremist,0.06884454002138227,0.06884454002138227,2
lapierre,0.06871623987427507,-0.06871623987427507,1
data,0.06855109807569534,-0.06855109807569534,2
refugees,0.06850375525749451,-0.06728555763044232,2
judge,0.06829468359501334,-0.06829468359501334,4
ignore,0.06811628294862294,0.06811628294862294,3
attacks,0.06811513772117905,-0.06811513772117905,1
prompted,0.06798805210532415,-0.06798805210532415,1
outsider,0.0679457499128249,-0.0679457499128249,1
fleeing,0.06773466669255868,-0.06773466669255868,1
staunch,0.06772570250939533,0.06772570250939533,2
ashamed,0.0675197178934468,0.0675197178934468,1
dhs,0.06737501174211502,-0.06737501174211502,1
i,0.06721121131914616,-0.06696840494308466,6
threaten,0.06695499018884249,0.06695499018884249,2
alabama,0.06690942137720413,-0.06690942137720413,2
monitor,0.06652938860740201,-0.06652938860740201,1
arrested,0.06650405941196741,-0.06650405941196741,2
calling,0.06632729906509073,-0.06632729906509073,2
should,0.06613461708471258,0.06584100352117377,7
risk.””,0.06610294305719436,-0.06610294305719436,1
allegations,0.06604531952082955,-0.06604531952082955,2
words,0.06603537189463775,-0.06603537189463775,1
